iter	Passed	Remaining
406	5936	8650
407	5981	8678
408	6013	8689
409	6034	8684
410	6052	8673
411	6068	8660
412	6085	8649
413	6098	8631
414	6110	8612
415	6120	8592
416	6130	8571
417	6142	8552
418	6153	8532
419	6164	8513
420	6176	8494
421	6190	8478
422	6201	8459
423	6213	8440
424	6226	8423
425	6239	8406
426	6249	8386
427	6262	8369
428	6274	8351
429	6286	8333
430	6297	8313
431	6308	8293
432	6319	8275
433	6329	8254
434	6340	8235
435	6352	8217
436	6363	8198
437	6375	8180
438	6387	8162
439	6398	8143
440	6409	8124
441	6422	8108
442	6435	8091
443	6447	8074
444	6461	8058
445	6473	8041
446	6487	8025
447	6500	8009
448	6512	7992
449	6528	7979
450	6544	7967
451	6561	7955
452	6576	7941
453	6591	7926
454	6606	7912
455	6620	7898
456	6634	7882
457	6648	7867
458	6660	7850
459	6673	7833
460	6684	7815
461	6696	7797
462	6706	7778
463	6717	7760
464	6729	7742
465	6740	7724
466	6754	7709
467	6769	7694
468	6783	7680
469	6798	7666
470	6815	7655
471	6834	7644
472	6850	7632
473	6870	7624
474	6887	7612
475	6904	7600
476	6920	7587
477	6935	7573
478	6950	7560
479	6963	7544
480	6976	7527
481	6987	7509
482	6999	7492
483	7011	7475
484	7024	7459
485	7035	7440
486	7045	7421
487	7056	7404
488	7066	7384
489	7079	7368
490	7094	7354
491	7106	7337
492	7116	7319
493	7131	7304
494	7146	7290
495	7160	7275
496	7172	7259
497	7185	7242
498	7199	7228
499	7215	7215
500	7231	7202
501	7248	7190
502	7262	7175
503	7276	7160
504	7290	7146
505	7303	7130
506	7314	7112
507	7325	7095
508	7339	7080
509	7352	7064
510	7364	7047
511	7378	7032
512	7393	7018
513	7408	7004
514	7421	6989
515	7438	6976
516	7457	6966
517	7472	6953
518	7488	6940
519	7504	6926
520	7519	6913
521	7534	6899
522	7547	6883
523	7560	6867
524	7574	6853
525	7591	6840
526	7606	6826
527	7620	6812
528	7635	6798
529	7648	6782
530	7659	6765
531	7670	6747
532	7682	6730
533	7694	6714
534	7706	6698
535	7718	6682
536	7730	6665
537	7744	6650
538	7760	6637
539	7773	6621
540	7785	6605
541	7796	6588
542	7808	6571
543	7820	6555
544	7832	6538
545	7844	6523
546	7858	6507
547	7872	6493
548	7884	6477
549	7896	6460
550	7906	6442
551	7917	6425
552	7928	6408
553	7939	6391
554	7948	6373
555	7961	6357
556	7975	6343
557	7989	6328
558	8008	6317
559	8052	6326
560	8071	6316
561	8094	6308
562	8142	6320
563	8182	6325
564	8214	6324
565	8244	6322
566	8264	6311
567	8288	6303
568	8306	6291
569	8326	6281
570	8346	6270
571	8361	6256
572	8374	6240
573	8387	6224
574	8397	6206
575	8409	6190
576	8422	6174
577	8436	6159
578	8456	6148
579	8475	6137
580	8497	6128
581	8516	6116
582	8533	6103
583	8549	6089
584	8564	6075
585	8577	6059
586	8589	6043
587	8602	6027
588	8615	6011
589	8628	5996
